subjectName:ID,:LABEL
CARARE metadata schema,Subject
CBP,Subject
CHIPS and Science Act,Subject
CIA,Subject
CIDOC CRM,Subject
CO2,Subject
CO2 emissions,Subject
COMAR,Subject
COVID-19,Subject
COVID19,Subject
COVID2019,Subject
CRMarchaeo,Subject
CRMba,Subject
CRMsci,Subject
CRMtex,Subject
CSI: Container Security Initiative,Subject
CTGR,Subject
CUFTA,Subject
Cabazon Reservation,Subject
Cahuilla,Subject
Cahuilla Reservation,Subject
Cali-Baja,Subject
CaliBaja,Subject
California,Subject
Calvin Coolidge,Subject
Campbell Ranch,Subject
Campo Indian Reservation,Subject
Canada Council for the Arts,Subject
Canada-Mexico Partnership (CMP),Subject
Canada-Mexico relations,Subject
Canada’s New Democratic Party (NDP),Subject
Canadian,Subject
Canadian Association for Refugee and Forced Migration Studies (CARFMS),Subject
Canadian Association of African Studies,Subject
Canadian Communication Studies,Subject
Canadian Constitution,Subject
Canadian Content,Subject
Canadian History Society,Subject
Canadian Identity,Subject
Canadian Intellectual Life,Subject
Canadian Ombudsperson for Responsible Enterprise,Subject
Canadian Pacific,Subject
Canadian Pacific y Canadian National Railway,Subject
Canadian Radio-television and Telecommunications Commission (CRTC),Subject
Canadian Sociology Association,Subject
Canadian Studies,Subject
Canadian cultural industries,Subject
Canadian culture,Subject
Canadian documentary,Subject
Canadian economics,Subject
Canadian foreig policy,Subject
Canadian history,Subject
Canadian political sciences,Subject
Canadian provinces,Subject
Canadian public policy,Subject
Canadian-U.S. Free Trade Agreement,Subject
Cancer Digital twin,Subject
Cannabis,Subject
Canopy Growth Corporation,Subject
Capacitive energy storage,Subject
Capitan Grande Reservation,Subject
Carbon taxes and carbon tax,Subject
Caribana Toronto,Subject
Carson Colony,Subject
Catawba,Subject
Catawba Reservation,Subject
Cattaraugus Reservation,Subject
Cebu Declaration on East Asian Energy Security,Subject
Cedarville Rancheria,Subject
Central Intelligence Agency,Subject
Central Security Service,Subject
Characteristic energy,Subject
Charlottetown Accord,Subject
Charters of Freedom,Subject
Chehalis,Subject
Chehalis Reservation,Subject
Chelan,Subject
Chemehuevi,Subject
Chemehuevi Reservation,Subject
Chemical energy,Subject
Cherokees,Subject
Chester A. Arthur,Subject
Cheyenne River Reservation,Subject
Chicago Council on Foreign Relations,Subject
Chicano Spanish,Subject
Chicken Ranch Rancheria,Subject
Chico Rancheria Trust Land,Subject
Chief of Space Operations (CSO),Subject
Chitimacha,Subject
Chitimacha Reservation,Subject
Chloe Cooley,Subject
Chola,Subject
Cholo,Subject
Cholos,Subject
Church History,Subject
Cibercrimen,Subject
Ciberseguridad,Subject
Circular economy in transport,Subject
City mobility systems,Subject
Civil Disobedience,Subject
Clean Air Act,Subject
Clean Energy Project,Subject
Clean Energy Trends,Subject
Clean Water Act,Subject
Clean energy,Subject
Clean vehicle fleets,Subject
Climate Change and Sustainable Energy Act 2006,Subject
Cloverdale Rancheria Trust Land,Subject
Co-operative_Commonwealth_Federation (CCF),Subject
Coast Guard Intelligence,Subject
Coconut Creek Trust Land,Subject
Cocopah,Subject
Cocopah Reservation,Subject
Cold Springs Rancheria,Subject
Colorado,Subject
Colorado River Indian Reservation,Subject
Colorism,Subject
Colusa Rancheria,Subject
Colville,Subject
Colville Reservation,Subject
Combined transport,Subject
Comisión Mexicana de Ayuda a Refugiados (COMAR),Subject
Comparative Religions,Subject
Compensation and Liability Act (CERCLA),Subject
Comprehensive Environmental Response,Subject
Comprehensive Refugee Response Framework,Subject
Compressed air energy storage,Subject
Concord,Subject
Concord Atheneum,Subject
Congress of Aboriginal Peoples,Subject
Congressional Research Service,Subject
Congressional Votes Database,Subject
Connected automated driving technology,Subject
Connecticut,Subject
Conservation energy,Subject
Conservation of energy,Subject
Conservative Party (United States),Subject
Constitution Act,Subject
Constitutional Act,Subject
Container Security Initiative,Subject
Continental Association,Subject
Continental Congress,Subject
Contraterrorismo,Subject
Convective available potential energy,Subject
Cooling energy,Subject
Cooperative and connected and automated transport,Subject
Coquille,Subject
Coquille Reservation,Subject
Core energy,Subject
Coronaviridae,Subject
Corrupción,Subject
Corruption,Subject
Cortina Indian Rancheria,Subject
Counterterrorism,Subject
Coushatta,Subject
Coushatta Reservation,Subject
Cow Creek Reservation,Subject
Cowlitz,Subject
Cowlitz Reservation,Subject
Coyote Valley Reservation,Subject
Creative Energy Homes,Subject
Crimen Organizado,Subject
Criminal Justice,Subject
Crimmigration,Subject
Critical energy,Subject
Cross-border train slot booking,Subject
Crow,Subject
Crow Creek Reservation,Subject
Crow Reservation,Subject
Cryogenic energy storage,Subject
Cultural Policy in Canada,Subject
Cumbre de Líderes de América del Norte (CLAG),Subject
Cumbre de los Tres Amigos,Subject
Customs Mutual Assistance Agreements (CMAA),Subject
Customs Trade Partnership Against Terrorism,Subject
Customs and Border Protection (CBP),Subject
Custums Trade Partenrship Against Terrorism,Subject
Cyber physical energy systems,Subject
Cybercrime,Subject
Cyberkriminalität,Subject
Cybersecurity,Subject
Cybersicherheit,Subject
César Chávez,Subject
DACA,Subject
DEA,Subject
DREAM Act,Subject
Dakota,Subject
Daniel Webster,Subject
David Lewis,Subject
David Thoreau,Subject
Decarbonization,Subject
Declaration of Independence,Subject
Decreased energy,Subject
Deep energy retrofit,Subject
Deep sea shipping,Subject
Deferred Action for Childhood Arrivals (DACA),Subject
Defrosting of railway infrastructure,Subject
Delaware,Subject
Democratic Party (United States),Subject
Derechos Humanos,Subject
Desarrollo Sostenible,Subject
Digital Farming,Subject
Digital twins in pharmaceutics,Subject
Direct energy conversion,Subject
Disney Channel,Subject
Distributed energy efficient clustering,Subject
District heating network,Subject
District mobility systems,Subject
Diálogo Interreligioso,Subject
Doctrina Monroe,Subject
Doing Business the Canadian Way: A Strategy to Advance Corporate Social Responsibility in Canada’s Extractive Sector,Subject
Domestic energy consumption,Subject
Donald Trump,Subject
Dreamers,Subject
Dresslerville Colony,Subject
Drogas Sinteticas,Subject
Drogenhandel,Subject
Drogenpolitik,Subject
Drug Enforcement Administration (DEA),Subject
Drug Policy,Subject
Drug Trafficking,Subject
Dry Creek Rancheria,Subject
Dual Work Exchanger Energy Recovery,Subject
Dual energy,Subject
Dual energy absorptiometry,Subject
Duck Valley Reservation,Subject
Duckwater Reservation,Subject
Dwight D. Eisenhower,Subject
Dynamic energy budget,Subject
E-freight,Subject
ECSS-standards,Subject
ENERGY CONSUMPTION BY THE TRANSPORT SECTOR,Subject
EU energy label,Subject
EU energy policy,Subject
EU energy strategy,Subject
EUropean rail Research Network of Excellence,Subject
Earth's energy budget,Subject
East Los Angeles,Subject
Ecumenism,Subject
Ecumenismo,Subject
Ed Broadbent,Subject
Effective energy,Subject
Effective transport management system,Subject
Efficient energy use,Subject
Elastic energy,Subject
Electric energy,Subject
Electric energy consumption,Subject
Electric energy storage,Subject
Electric potential energy,Subject
Electric vehicles,Subject
Electrical energy consumption,Subject
Electrical energy storage,Subject
Electrified road systems,Subject
Electrochemical energy conversion,Subject
Electrochemical energy storage,Subject
Electron energy loss spectroscopy,Subject
Electron kinetic energy,Subject
Electronic Civil Disobedience,Subject
Electronic Disturbance Theater,Subject
Elementary and Secondary Education Act (ESEA),Subject
Elk Valley Rancheria,Subject
Elko Colony,Subject
Ely Reservation,Subject
Embodied energy,Subject
Emissions,Subject
Energy Fraction,Subject
Energy Independence and Security Act of 2007,Subject
Energy Management,Subject
Energy Planning,Subject
Energy Policy,Subject
Energy Policy Act of 1992,Subject
Energy Policy Act of 2005,Subject
Energy Policy and Conservation Act,Subject
Energy Saving Module,Subject
Energy Security Act,Subject
Energy Slave,Subject
Energy Tax Act,Subject
Energy absorbers,Subject
Energy absorbing,Subject
Energy absorption,Subject
Energy accounting,Subject
Energy agency,Subject
Energy allocation,Subject
Energy amplifier,Subject
Energy analyser,Subject
Energy analysis,Subject
Energy and environmental engineering,Subject
Energy applications of nanotechnology,Subject
Energy assessment,Subject
Energy auditing,Subject
Energy aware scheduling,Subject
Energy awareness,Subject
Energy balance,Subject
Energy balance equation,Subject
Energy balancing,Subject
Energy based,Subject
Energy behavior,Subject
Energy budget,Subject
Energy cannibalism,Subject
Energy carrier,Subject
Energy cascade,Subject
Energy characterization,Subject
Energy charge,Subject
Energy collision,Subject
Energy community,Subject
Energy company,Subject
Energy component,Subject
Energy conservation,Subject
Energy conservation behaviour,Subject
Energy conservation in the United Kingdom,Subject
Energy conservation in the United States,Subject
Energy conservation measure,Subject
Energy conservation training,Subject
Energy constrained,Subject
Energy constraint,Subject
Energy consulting,Subject
Energy consumption,Subject
Energy consumption minimization,Subject
Energy consumption optimization,Subject
Energy consumption wireless sensor networks,Subject
Energy control,Subject
Energy conversion devices,Subject
Energy conversion efficiency,Subject
Energy converter,Subject
Energy cost,Subject
Energy cycle,Subject
Energy data,Subject
Energy deficiency,Subject
Energy deficit,Subject
Energy delivery,Subject
Energy demand,Subject
Energy demand management,Subject
Energy density,Subject
Energy density functional,Subject
Energy depletion,Subject
Energy derivative,Subject
Energy development,Subject
Energy diagram,Subject
Energy dispatch,Subject
Energy distance,Subject
Energy distribution,Subject
Energy dose,Subject
Energy drift,Subject
Energy dynamics,Subject
Energy economics,Subject
Energy education,Subject
Energy efficiency gap,Subject
Energy efficiency implementation,Subject
Energy efficiency in transportation,Subject
Energy efficient algorithms,Subject
Energy efficient architecture,Subject
Energy efficient clustering,Subject
Energy efficient computation,Subject
Energy efficient distillation,Subject
Energy efficient lighting,Subject
Energy efficient resource allocation,Subject
Energy efficient routing,Subject
Energy efficient routing protocol,Subject
Energy efficient scheduling,Subject
Energy efficient transformer,Subject
Energy efficient transmission,Subject
Energy engineering,Subject
Energy equation,Subject
Energy equipartition,Subject
Energy equivalent,Subject
Energy estimation,Subject
Energy exchange,Subject
Energy expenditure,Subject
Energy facilities,Subject
Energy factor,Subject
Energy failure,Subject
Energy feedback,Subject
Energy flow,Subject
Energy flow analysis,Subject
Energy flux,Subject
Energy forecasting,Subject
Energy function minimization,Subject
Energy gradient,Subject
Energy harvester,Subject
Energy harvesting,Subject
Energy harvesting wireless sensor networks,Subject
Energy hierarchy,Subject
Energy hub,Subject
Energy impact,Subject
Energy in the United States,Subject
Energy independence,Subject
Energy index,Subject
Energy indicators,Subject
Energy inequality,Subject
Energy informatics,Subject
Energy information,Subject
Energy infrastructure,Subject
Energy integration,Subject
Energy intensity,Subject
Energy interval,Subject
Energy investment,Subject
Energy landscape,Subject
Energy law,Subject
Energy leakage,Subject
Energy level,Subject
Energy liberalisation,Subject
Energy load,Subject
Energy loss,Subject
Energy management,Subject
Energy management controller,Subject
Energy management software,Subject
Energy management system,Subject
Energy management unit,Subject
Energy margin,Subject
Energy market,Subject
Energy matching,Subject
Energy materials,Subject
Energy maximization,Subject
Energy measure,Subject
Energy metering,Subject
Energy method,Subject
Energy metrics,Subject
Energy migration,Subject
Energy minimization,Subject
Energy mix,Subject
Energy modeling,Subject
Energy modulation,Subject
Energy monitoring and targeting,Subject
Energy operator,Subject
Energy particle,Subject
Energy pathways,Subject
Energy per instruction,Subject
Energy performance,Subject
Energy performance indicators,Subject
Energy plan,Subject
Energy planning,Subject
Energy plant,Subject
Energy policy,Subject
Energy policy of India,Subject
Energy policy of the European Union,Subject
Energy policy of the United States,Subject
Energy poverty,Subject
Energy preservation,Subject
Energy pricing,Subject
Energy productivity,Subject
Energy products,Subject
Energy profile,Subject
Energy quality,Subject
Energy rate,Subject
Energy rate density,Subject
Energy rationing,Subject
Energy recovery,Subject
Energy recycling,Subject
Energy reduction,Subject
Energy regeneration,Subject
Energy regulation,Subject
Energy requirement,Subject
Energy reserves,Subject
Energy resources,Subject
Energy retention,Subject
Energy returned on energy invested,Subject
Energy scheduling,Subject
Energy sector,Subject
Energy security,Subject
Energy service,Subject
Energy shaping,Subject
Energy sharing,Subject
Energy shift,Subject
Energy simulation,Subject
Energy source,Subject
Energy spectrum,Subject
Energy statistics,Subject
Energy storage,Subject
Energy storage efficiency,Subject
Energy storage sizing,Subject
Energy strategy,Subject
Energy structure,Subject
Energy subsidies,Subject
Energy supplementation,Subject
Energy supply,Subject
Energy supply and demand,Subject
Energy supply chain,Subject
Energy sustainability,Subject
Energy system,Subject
Energy system design,Subject
Energy system optimization,Subject
Energy tax,Subject
Energy taxis,Subject
Energy technology,Subject
Energy trading,Subject
Energy transfer,Subject
Energy transfer rate,Subject
Energy transfer upconversion,Subject
Energy transformation,Subject
Energy transition,Subject
Energy transport,Subject
Energy users,Subject
Energy value of coal,Subject
Energy variation,Subject
Energy-Generating Resources,Subject
Energy-coupling factor transporter,Subject
Energy-efficiency gap,Subject
Energy-efficient driving,Subject
Energy-plus-house,Subject
Energía Nuclear,Subject
Enterprise Rancheria,Subject
Entiat,Subject
Entropy (energy dispersal),Subject
Enviromental Law Intitute (ELI),Subject
Environmental impact of the energy industry,Subject
Environmental impact of transport,Subject
Environmental- friendly transport,Subject
Eskimo,Subject
Ethnobotanik,Subject
Ethnosphere,Subject
Ethnosphäre,Subject
Etnobotánica,Subject
Etnósfera,Subject
European Association of Aviation Training and Education Organisations,Subject
European Conference of Transport Research Institutes,Subject
European Energy Charter,Subject
European Green Deal,Subject
European Intermodal Research Advisory Council,Subject
European Rail Transport Research Advisory Council,Subject
European Road Transport Research Advisory Council,Subject
European Space Technology Platform,Subject
European Transport networks,Subject
European Union energy label,Subject
European Union energy policy,Subject
European Union energy strategy,Subject
Every Student Succeeds Act (ESSA).,Subject
Ewiiaapaayp Reservation,Subject
Excess energy,Subject
Excess heat,Subject
Excessive energy,Subject
External energy,Subject
Ezra Ripley,Subject
FBI,Subject
FHSS,Subject
FOIA,Subject
FTA,Subject
Faith Based Organizations,Subject
Fallon Paiute-Shoshone Reservation,Subject
Federal,Subject
Federal Bureau of Investigation (FBI),Subject
Federal Constitution,Subject
Federation for the Humanities and Social Sciences,Subject
Feminism,Subject
Feminismo,Subject
Feminismus,Subject
Fenomenología,Subject
Field energy,Subject
Filosofía Latinoamericana,Subject
Filosofía de la Liberación,Subject
Filosofía de la Religión,Subject
Final energy,Subject
First Amendment,Subject
First Continental Congress,Subject
Flandreau Reservation,Subject
Flathead Reservation,Subject
Flight Data Recorders,Subject
Florida,Subject
Flux,Subject
Flux density,Subject
Flywheel energy storage,Subject
Flywheel energy storage system,Subject
Fond du Lac Reservation,Subject
Food energy,Subject
Forest County Potawatomi Community,Subject
Forms of energy,Subject
Fort Apache Reservation,Subject
Fort Belknap Reservation,Subject
Fort Berthold Reservation,Subject
Fort Bidwell Reservation,Subject
Fort Hall Reservation,Subject
Fort Independence Reservation,Subject
Fort McDermitt Indian Reservation,Subject
Fort McDowell Yavapai Nation Reservation,Subject
Fort Mojave Reservation,Subject
Fort Peck Indian Reservation,Subject
Fort Pierce Reservation,Subject
Fort Sill Apache Indian Reservation,Subject
Fort Yuma Indian Reservation,Subject
Founding Fathers,Subject
Fox sports,Subject
Franklin,Subject
Franklin D. Roosevelt,Subject
Franklin Pierce,Subject
Fraser Institute,Subject
Free energy profile,Subject
Freedom of Information Act,Subject
Freedom of Information Act / Privacy Act,Subject
Fuel efficiency,Subject
Funglcide and Rodentlcide Act (FIFRA),Subject
Fusion energy gain factor,Subject
Future Airport Layout,Subject
Förster resonance energy transfer,Subject
Gabrielle Roy,Subject
Galactic Plane,Subject
Gas concentration,Subject
General Atomics,Subject
General Electric Company,Subject
Geology,Subject
Geopolitics,Subject
Geopolitik,Subject
Geopolítica,Subject
George H. W. Bush,Subject
George Soros,Subject
George W. Bush,Subject
George Washington,Subject
Georgia,Subject
Geothermal energy,Subject
Gerald Ford,Subject
German Renewable Energy Sources Act,Subject
Gibbs energy minimization,Subject
Gibbs free energy,Subject
Gila River Indian Reservation,Subject
Global Energy and Water Cycle Experiment,Subject
Global Forum on Migration and Development (GFMD),Subject
Global energy,Subject
Gloria Anzaldúa,Subject
Gold card,Subject
Golgi staining,Subject
Goshute,Subject
Goshute Reservation,Subject
Grand Portage Reservation,Subject
Grand Ronde Community,Subject
Grand Traverse Reservation,Subject
Graph energy,Subject
Graton Rancheria Trust Land,Subject
Gravitational energy,Subject
Great Migration,Subject
Great Migration of Canada,Subject
Great Old Party (GOP),Subject
Green Transport,Subject
Green card,Subject
Green cars,Subject
Green rail transport,Subject
Greenhouse gas,Subject
Greenhouse gas fluxes,Subject
Greenville Rancheria,Subject
Gretchen Whitmer,Subject
Grid energy storage,Subject
Grindstone Indian Rancheria,Subject
Gros Ventre,Subject
Grover Cleveland,Subject
Growing of mobility demand,Subject
Guidance and traffic management,Subject
Guidiville Rancheria,Subject
H-1B Temporary Visas,Subject
HCoV-19,Subject
HPC simulation,Subject
Hannahville Indian Community,Subject
Harm Reduction,Subject
Harry S. Truman,Subject
Harvard University,Subject
Harvesting lightning energy,Subject
Havasupai,Subject
Havasupai Reservation,Subject
Hawaii,Subject
Heart digital twin,Subject
Heat energy,Subject
Heat storage,Subject
Heating energy,Subject
Heilige Pflanzen,Subject
Helmholtz free energy,Subject
Henry Thoreau,Subject
Herbal Medicines,Subject
Herbert Hoover,Subject
Hidatsa,Subject
High Energy Density Matter,Subject
High energy,Subject
High energy accelerator,Subject
High energy irradiation,Subject
High kinetic energy,Subject
High-Energy Shock Waves,Subject
High/low voltage,Subject
Hillary Clinton,Subject
Hispanic Americans,Subject
Historia de la Iglesia,Subject
Historia de las Religiones,Subject
Historic preservation,Subject
History of Religions,Subject
Ho-Chunk,Subject
Ho-Chunk Nation Reservation,Subject
Hoh,Subject
Hoh Indian Reservation,Subject
Hollywood Reservation,Subject
Home energy monitor,Subject
Home energy rating,Subject
Homeland Security,Subject
Homelessness in Canada,Subject
Homelessness in the United States,Subject
Hoopa Valley Reservation,Subject
Hopi,Subject
Hopi Reservation,Subject
Hopland Rancheria,Subject
Houlton Maliseet Reservation,Subject
House Energy Rating,Subject
House of Commons,Subject
Hualapai,Subject
Hualapai Indian Reservation,Subject
Human Rights,Subject
Human Trafficking,Subject
Hupa,Subject
Huron Potawatomi Reservation,Subject
Hybrid energy,Subject
Hydro energy,Subject
Hydropower,Subject
IAS,Subject
IEA,Subject
IEEPA,Subject
INTERNATIONAL ASSOCIATION OF INTER-AMERICAN STUDIES (IAS),Subject
Idaho,Subject
Identidad Nacional,Subject
Illegal Immigration Control Act,Subject
Illegale Märkte,Subject
Illicit Markets,Subject
Illinois,Subject
Immokalee Reservation,Subject
Impact energy,Subject
Impact energy absorption,Subject
In God We trust,Subject
Inaja and Cosmit Reservation,Subject
Inclusion,Subject
Inclusive and affordable transport,Subject
Inclusión,Subject
Increased use of public transport,Subject
Indian Act,Subject
Indian Americans,Subject
Indian Diaspora in US,Subject
Indian Township Reservation,Subject
Indiana,Subject
Indigenous people in Mexico,Subject
Indigenous people in the United States,Subject
Indigenous peoples in Canada,Subject
Inflight refueling,Subject
Inklusion,Subject
Inland shipping,Subject
Inland waterway transport,Subject
Innovative forms of urban transport,Subject
Innovative freight delivery systems,Subject
Innovative freight logistics services,Subject
Innovative powertrains,Subject
Insecticide,Subject
Integrated energy system,Subject
Integrated urban plan,Subject
Inteligencia Artificial,Subject
Intelligence Surveillance Reconnaissance (USAF ISR),Subject
Intelligent Transport System,Subject
Intelligent mobility,Subject
Inter-modal aspects of urban mobility,Subject
Inter-modality infrastructures,Subject
Intermediate energy,Subject
Intermittent energy source,Subject
Intermodal freight transport,Subject
Intermodal travel information,Subject
Internal Security Fund (ISF),Subject
Internal energy,Subject
International Framework for Nuclear Energy Cooperation,Subject
International Refugee Law,Subject
International Refugee Protection Regime,Subject
Internet of things,Subject
Interoperability of transport systems,Subject
Interreligious Dialogue,Subject
Inuit,Subject
Ionization energy,Subject
Iowa,Subject
Iowa Reservation,Subject
Irish in US,Subject
Isabella Reservation,Subject
Isleta Pueblo,Subject
Isotropic energy,Subject
Italians in US,Subject
Jack Layton,Subject
Jackson Rancheria,Subject
Jacques Cartier,Subject
Jagmeet Singh,Subject
Jamaica-Canadian Diaspora,Subject
James A. Garfield,Subject
James Buchanan,Subject
James Madison,Subject
James Monroe,Subject
Jamul Indian Village,Subject
Jefferson,Subject
Jeffrey Davidow,Subject
Jemez,Subject
Jemez Pueblo,Subject
Jena Band of Choctaw Reservation,Subject
Jena Choctaw,Subject
Jews in US,Subject
Jicarilla Apache Nation Reservation,Subject
Jimmy Carter,Subject
Joe Biden,Subject
Joe Lombardo,Subject
John Adams,Subject
John F. Kennedy,Subject
John Hancock,Subject
John Jay,Subject
John Quincy Adams,Subject
John Tyler,Subject
Joint Dark Energy Mission,Subject
Justicia Penal,Subject
Justin Trudeau,Subject
Kaibab Indian Reservation,Subject
Kalispel Reservation,Subject
Kamala Devi Harris,Subject
Kansas,Subject
Karuk Reservation,Subject
Katie Hobbs,Subject
Kentucky,Subject
Kernenergie,Subject
Kickapoo Reservation,Subject
Kikapoo,Subject
Kinetic energy,Subject
Kinetic energy operator,Subject
Kinetic energy recovery system,Subject
Kino Border Initiative,Subject
Kirchengeschichte,Subject
Klallam,Subject
Klamath Reservation,Subject
Komagata Maru incident,Subject
Kootenai Reservation,Subject
Korruption,Subject
Kumeyaay,Subject
Kutenai,Subject
Künstliche Intelligenz,Subject
LIDO metadata schema,Subject
La Jolla Reservation,Subject
La Posta Indian Reservation,Subject
La Raza studies,Subject
Lac Courte Oreilles Reservation,Subject
Lac Vieux Desert Reservation,Subject
Lac du Flambeau Reservation,Subject
Laguna Pueblo,Subject
Lake Traverse Reservation,Subject
Lakota,Subject
Land-use and transport interaction,Subject
Language and Literature,Subject
Large Combustion Plant (LCP),Subject
Las Vegas Indian Colony,Subject
LatCrit,Subject
Lateinamerikanische Philosophie,Subject
Latent internal energy,Subject
Latin American Philosophy,Subject
Latino studies,Subject
Latino vote,Subject
Law and Migrations,Subject
Laytonville Rancheria,Subject
Leakage energy,Subject
Leech Lake Reservation,Subject
Lenguas Ancestrales,Subject
Library of Parliament,Subject
Life-cycle greenhouse-gas emissions of energy sources,Subject
Light energy,Subject
Likely Rancheria,Subject
Likkle Caribbean,Subject
Likkle Jamaica,Subject
Linear energy transfer,Subject
Linguistics and National Identity,Subject
Linguistik,Subject
Linguistik und nationale Identität,Subject
Lingüística e Identidad Nacional,Subject
Literatura y Lenguas Ancestrales,Subject
Literature and Ancestral Languages,Subject
Little Jamaica,Subject
Little River Reservation,Subject
